Id,splMass,Gonadwt,Idweight,splDate,Cant1,Canthaxanthin,Echi1,Echinenone,Astaxanthin
GO_F05_GL13,13.3,12.55,138.6,22/05/20,0.0582946886481805,0.173036950167703,0.00433644064030287,0.00265683335004472,1.15817287030469
GO_F05_GL14,19,9.08,121.3,03/07/20,0.0729910264139384,0.201899738818064,0.00581449505573005,0.00439649932522725,1.34614573559736
GO_F05_GL17,18.8,28.21,108.41,28/09/20,0.0720420295244522,0.223280342923498,0.00380234501454186,0.00465571221951007,1.42827865539675
GO_F05_GL19,15.4,29.44,113.46,08/02/21,0.0878242283918728,0.30585423476286,0.00724845399601629,0.00933199989905553,1.36840586687665
GO_F05_GL20,11,9.22,135.75,08/03/21,0.0864704332168581,0.259583757634653,0.0104124547154417,0.00692932861086724,1.64465301931302
GO_F05_GL21,17.5,3.88,99.68,01/04/21,0.0370193381251499,0.107583725101918,0.004138959540721,0.00311389012175739,0.432590448704383
GO_F05_GL23,12.3,17.1,128.4,16/07/21,0.108038617586611,0.37732545028643,0.00991733828103007,0.0237311668522762,1.78302266721651
GO_F06_GL11,17,15.16,71.45,22/01/20,0.0656319292171856,0.278501891258677,0.00581365674906111,0.00628352763699893,1.24455675026817
GO_F06_GL13,10.4,4.49,133.89,22/05/20,0.152036637213641,0.519697160270407,0.0191493828139846,0.0278844173946669,4.27720584226584
GO_F06_GL15,16.9,19.8,171.4,29/07/20,0.0718348731372762,0.231635053461093,0.00945702929954875,0.00496283748502368,1.67978229570203
GO_F06_GL23,14.4,19.28,122.44,16/07/21,0.0840822494248406,0.290493797337219,0.0101633913696248,0.0123916279603751,2.24777032279588
GO_F07_GL12,13.2,37.56,117.85,16/03/20,0.0829738475896707,0.298905615154372,0.0106001496733737,0.0102975812985653,1.59919332228914
GO_F07_GL13,13.4,9.81,104.43,22/05/20,0.0786987557343566,0.320302095429001,0.00611260066081512,0.00997212702847029,1.64124807781596
GO_F07_GL14,19.1,6.3,126.01,03/07/20,0.054860148825242,0.147685884485731,0.00229660914966855,0.00177561911108633,0.838226026267067
GO_F07_GL16,15,19.88,122.13,26/08/20,0.0752807843499113,0.327144172897326,0.0108625123522754,0.00713035709040098,1.77143395310824
GO_F07_GL18,17,14.95,114.32,11/01/21,0.0795528391378587,0.237246898090959,0.00998276539033987,0.00982746907991974,1.64674266996986
GO_F07_GL19,14.7,23.28,91.09,08/02/21,0.0580854914945617,0.231509592238767,0.0124196416125106,0.0134189231215632,2.03933636462196
GO_F07_GL21,12.8,1.77,124.31,01/04/21,0.0579263463942989,0.271698796283353,0.0222858915983112,0.0124650798522116,1.58269232649442
GO_F07_GL22,18.5,16.1,119.39,28/05/21,0.0583057139035739,0.192600610515982,0.00516664259920263,0.00490318773578719,1.03378378378378
GO_F08_GL11,19.2,26.92,117.68,22/01/20,0.0684613285857486,0.222091751183498,0.00704785592549029,0.00773183994227124,1.25383052737268
GO_F08_GL13,14.6,3.1,108.75,22/05/20,0.0341531775523825,0.123119054174472,0.00764562955744184,0.00934259767025185,0.865620698842155
GO_F08_GL16,18.8,23.62,133.05,26/08/20,0.0527992043541839,0.141006417896869,0.00277254323977011,0.00398238028985161,0.688787690097694
GO_F08_GL17,21.4,25.4,90.81,28/09/20,0.066019575703992,0.201365246311384,0.0054818890501885,0.00408057523066541,1.41160314304073
GO_F08_GL19,18,12.86,171.42,08/02/21,0.0723983407660249,0.284782264358271,0.0101765539486419,0.0207254208466244,2.46602358635133
GO_F08_GL22,16.3,10.33,106.78,28/05/21,0.047315382067322,0.185490729157294,0.00375842966149698,0.00358815826246784,0.93217152436611
GO_F08_GL23,12.8,8.7,78.13,16/07/21,0.0698717564477222,0.240338389741115,0.0051721884155549,0.00327889245157877,1.44726031244413
GO_F09_GL10,9.8,24.87,103.59,02/12/19,0.0721939037532663,0.273492846005637,0.00909714571950861,0.00846856541542715,1.32072478324731
GO_F10_GL10,14.3,33.39,105.33,02/12/19,0.0737655861897977,0.267349673317686,0.00844508965827787,0.00878118907853445,1.70061195508787
GO_F10_GL16,14.8,15.08,103.37,26/08/20,0.0687740300627914,0.232489676130633,0.00561213745504747,0.00449153951170058,1.03242402833441
GO_F10_GL21,12.5,1.22,102.08,01/04/21,0.0974849797439708,0.293729748650219,0.0211582064447063,0.0204758583484603,1.31683787097104
GO_F10_GL23,14.5,3.12,102.41,16/07/21,0.0848368398297441,0.225426967181187,0.0148691754689615,0.0104060885778069,1.32469224089493
GO_F11_GL14,18.3,7.94,133.5,03/07/20,0.0500900916378669,0.149824522856393,0.00441670801304149,0.00248578541437511,0.777018469314527
GO_F11_GL17,12.9,13.49,89.99,28/09/20,0.0663963238701444,0.17913037011345,0.00355258444966254,0.00763517041988035,1.1189425239157
GO_F12_GL14,17.5,13.78,120.76,03/07/20,0.0462172615216915,0.173362156651965,0.00407706855693452,0.00287019437309812,1.21658998533264
GO_F12_GL20,17.3,13.57,110.04,08/03/21,0.0551073039817358,0.21161292453279,0.00574414513538559,0.00565806121646291,1.43172618585393
